Social.Category,Source,gender.main,gender_norm.main,gender.ext,gender_norm.ext,gender.red,gender_norm.red,age.main,age_norm.main,age.ext,age_norm.ext,age.red,age_norm.red
airman,GPT2,-0.2309212,0.453278334,-0.004550187,0.4747764,-0.14262882,0.45510873,-0.084848166,0.279573108,-0.012507163,0.268100749,-0.0628365,0.353334547
airplane pilot,GPT2,-0.18409282,0.574518767,0.001709716,0.527561974,-0.095198795,0.602354355,-0.05790832,0.423116285,0.00733602,0.400522978,-0.049828134,0.469655504
airwoman,GPT2,-0.22568005,0.466847868,0.005934869,0.563189869,-0.12948313,0.495919279,-0.07748995,0.31877978,-0.008583232,0.294286855,-0.056850653,0.406860059
alchemist,GPT2,-0.245384,0.415833602,-0.010708542,0.422847109,-0.15531574,0.415722424,-0.0925153,0.238720434,-0.013924424,0.258642747,-0.0710239,0.280122723
alcoholic,GPT2,-0.27209643,0.346674118,-0.02129215,0.333602617,-0.1730977,0.360518662,-0.09843217,0.207193664,-0.009123422,0.290681931,-0.08694796,0.137729598
ale drinker,GPT2,-0.16866224,0.614469117,0.010818509,0.604370341,-0.08206886,0.643115993,-0.052352943,0.452716916,0.005317432,0.387052061,-0.041292354,0.545982545
algebraist,GPT2,-0.21368517,0.497903062,-0.005269667,0.468709509,-0.12197307,0.51923412,-0.07373683,0.338777473,-0.002535639,0.334645084,-0.060002383,0.378677254
aliterate person,GPT2,-0.20808491,0.512402345,0.00244034,0.533722843,-0.12349744,0.514501741,-0.074430555,0.335081108,-0.006795825,0.306215003,-0.056266196,0.41208628
ally,GPT2,-0.10947319,0.767711789,0.02264724,0.704114123,-0.047795914,0.749515713,-0.040398434,0.516413947,0.007462623,0.401367858,-0.03160684,0.632590521
almsgiver,GPT2,-0.26691997,0.360076167,-0.014760499,0.388679664,-0.16803959,0.37622147,-0.09585863,0.220906219,-0.01217108,0.270343577,-0.075145975,0.243263082
alpinist,GPT2,-0.23804045,0.434846328,0.000587125,0.518095917,-0.1539183,0.420060751,-0.09544526,0.223108772,-0.021405552,0.20871791,-0.06594462,0.325541703
altar boy,GPT2,-0.2596028,0.379020595,-0.007474556,0.450117155,-0.17315957,0.360326588,-0.10190311,0.188699507,-0.025280852,0.182856339,-0.069756776,0.291453361
alto saxophonist,GPT2,-0.22511062,0.468322143,0.004285223,0.549279507,-0.14622228,0.443952901,-0.08979334,0.253223812,-0.023852691,0.192387082,-0.05612623,0.413337858
altruist,GPT2,-0.27431512,0.340929846,-0.020015195,0.344370325,-0.17460999,0.355823786,-0.099413216,0.201966372,-0.016006513,0.244748057,-0.07714283,0.225407182
alum,GPT2,-0.26029292,0.377233848,-0.009419992,0.43371259,-0.17408344,0.357458451,-0.10384887,0.178331943,-0.02156409,0.207659917,-0.077575915,0.221534531
amateur,GPT2,-0.22435515,0.470278084,-0.004673052,0.473740365,-0.13405167,0.481736332,-0.08423319,0.282849876,-0.011589289,0.274226123,-0.0677985,0.308964287
ambassador,GPT2,-0.28336534,0.317498487,-0.012221932,0.410085703,-0.18822916,0.313543328,-0.10939443,0.148783619,-0.029289406,0.156105507,-0.07351471,0.257849872
amputee,GPT2,-0.24540836,0.415770533,-0.007949702,0.446110563,-0.14996769,0.432325346,-0.08941302,0.255250266,-0.01112451,0.277327796,-0.07117981,0.278728574
analyst,GPT2,-0.2006154,0.531741187,0.005842937,0.562414668,-0.11703263,0.534571623,-0.07327761,0.341224328,-0.007953139,0.298491741,-0.052390832,0.446739829
anarchist,GPT2,-0.22200581,0.476360613,-0.007614704,0.448935377,-0.12751547,0.502027843,-0.075097434,0.331527787,-0.003147332,0.330562995,-0.06239989,0.357238719
anatomist,GPT2,-0.24621615,0.413679134,-0.00689231,0.455026843,-0.15420805,0.419161227,-0.09266663,0.237914104,-0.01671151,0.240043304,-0.06931506,0.29540319
ancestor,GPT2,-0.27781177,0.331876888,-0.021821303,0.329140623,-0.17900826,0.342169439,-0.10547172,0.169684936,-0.023461957,0.194994621,-0.07684532,0.22806752
anchorman,GPT2,-0.27669477,0.334768843,-0.013259582,0.401335894,-0.18303418,0.329671046,-0.1093898,0.148808289,-0.028471652,0.161562736,-0.07502419,0.244352085
anchorperson,GPT2,-0.27038077,0.351116026,-0.008504391,0.441433241,-0.17833795,0.344250404,-0.10568985,0.168522677,-0.026504071,0.174693264,-0.07363173,0.256803478
ancient person,GPT2,-0.18155997,0.58107641,0.005387478,0.558574083,-0.096356794,0.598759369,-0.058510445,0.419907991,0.004594673,0.382228771,-0.046920337,0.495657057
angel,GPT2,-0.31834334,0.226939133,-0.026851948,0.286720557,-0.21904366,0.217880289,-0.12596352,0.060498786,-0.0343567,0.122289239,-0.090280354,0.107931293
anglican catholic,GPT2,-0.22844578,0.459687289,-0.010510724,0.424515176,-0.13201961,0.488044824,-0.080092356,0.304913419,-0.006347558,0.309206488,-0.06832698,0.304238613
anglican,GPT2,-0.24126168,0.426506443,-0.004999018,0.470991706,-0.14974317,0.433022364,-0.09141373,0.244589913,-0.016401265,0.242113704,-0.069777265,0.291270148
anglo-american,GPT2,-0.24387524,0.419739838,-0.018023625,0.361163904,-0.14222987,0.456347263,-0.07019739,0.357636618,0.001805567,0.363615853,-0.053381413,0.437882042
anglo-indian,GPT2,-0.24350002,0.420711297,-0.014823302,0.388150088,-0.14543225,0.446405534,-0.07492638,0.332439212,-0.000471785,0.348418088,-0.056761853,0.40765411
anglo-saxon,GPT2,-0.24772975,0.409760367,-0.018762881,0.354930252,-0.14758277,0.439729285,-0.077762775,0.317326091,-0.001984277,0.338324564,-0.061832584,0.362311575
anglophile,GPT2,-0.2451775,0.416368238,-0.00334307,0.484955214,-0.1496201,0.433404432,-0.09034566,0.250280894,-0.018024113,0.23128373,-0.06468807,0.336777787
anglophobe,GPT2,-0.2461389,0.413879137,-0.007398813,0.450755845,-0.14569983,0.445574837,-0.08479686,0.279846481,-0.013849963,0.259139661,-0.06196374,0.361138777
angolan,GPT2,-0.21949694,0.482856172,0.002911492,0.53769575,-0.13501164,0.478756123,-0.08546865,0.276266993,-0.016751252,0.239778088,-0.061259426,0.367436761
angolese,GPT2,-0.21628623,0.49116882,0.006024324,0.563944186,-0.1347163,0.479673001,-0.08663631,0.270045368,-0.018135753,0.230538708,-0.06142164,0.365986241
anguillan,GPT2,-0.26117817,0.374941903,-0.012470031,0.40799365,-0.17041115,0.368859007,-0.10573967,0.168257222,-0.02887474,0.158872754,-0.075674504,0.23853697
animal scientist,GPT2,-0.19722703,0.540513804,0.000909837,0.520817129,-0.10035438,0.586348938,-0.064668596,0.387095608,0.005360418,0.387338926,-0.058473695,0.392346799
animal stuffer,GPT2,-0.18360224,0.575788897,0.002566866,0.534789751,-0.0850596,0.633831297,-0.04975352,0.466567383,0.014332503,0.44721357,-0.047110148,0.493959765
animal trainer,GPT2,-0.18274046,0.578020078,0.001367787,0.524678723,-0.08649069,0.629388504,-0.057649717,0.424494195,0.009899527,0.417630384,-0.05479574,0.425235114
animator,GPT2,-0.30845815,0.252532261,-0.03888582,0.185246958,-0.19353105,0.29708371,-0.10480116,0.173257871,-0.011440339,0.275220131,-0.089115165,0.118350426
animist,GPT2,-0.29852116,0.278259501,-0.026439346,0.290199754,-0.19192672,0.302064322,-0.106190585,0.165854618,-0.017741822,0.233167581,-0.08285976,0.174286329
announcer,GPT2,-0.28806487,0.305331228,-0.015350115,0.383707826,-0.19092467,0.305175168,-0.10718934,0.160532967,-0.026154112,0.177028694,-0.069790594,0.29115096
anorexic,GPT2,-0.23151255,0.451747306,-0.008549197,0.441055422,-0.13974874,0.464049885,-0.082527235,0.29193969,-0.0082373,0.296595411,-0.066073135,0.32439252
anthropologist,GPT2,-0.2541294,0.393191433,-0.009657456,0.431710215,-0.15719235,0.409896524,-0.090403594,0.249972205,-0.015039034,0.251204467,-0.066720285,0.318605698
anti-american,GPT2,-0.24864447,0.407392123,-0.033049136,0.234463813,-0.1283948,0.499297979,-0.049114563,0.469971928,0.026200831,0.52641611,-0.048551954,0.48106712
anti-intellectual,GPT2,-0.24503472,0.416737901,-0.035170592,0.216574992,-0.121568196,0.520491043,-0.051453374,0.457510076,0.026693966,0.529707015,-0.057387434,0.402060157
anti-semite,GPT2,-0.218933,0.484316233,-0.025595687,0.297313766,-0.10134534,0.583272521,-0.043025643,0.502415429,0.026827233,0.530596364,-0.048118517,0.484942918
antifeminist,GPT2,-0.259039,0.380480294,-0.011490641,0.416252191,-0.15571621,0.414479173,-0.08598546,0.273513282,-0.010506822,0.281449898,-0.06452222,0.33826082
antiquarian,GPT2,-0.23581022,0.440620477,-0.010903833,0.42120035,-0.13930367,0.465431596,-0.08354272,0.286528897,-0.012663096,0.26706014,-0.06506558,0.333402088
ape-man,GPT2,-0.23939325,0.431343878,-0.018713566,0.355346092,-0.1359076,0.475974632,-0.07077453,0.354561452,0.002145668,0.365885494,-0.059014957,0.387506828
apologist,GPT2,-0.24482812,0.417272796,-0.006907402,0.454899582,-0.14937472,0.43416621,-0.08571363,0.27496167,-0.011447031,0.275175473,-0.062261213,0.35847877
apostate,GPT2,-0.27034086,0.351219355,-0.02088261,0.337055994,-0.16919929,0.372621203,-0.09686581,0.215539677,-0.015100152,0.2507966,-0.074717335,0.247095986
apostelic father,GPT2,-0.24899785,0.406477209,-0.015529468,0.382195462,-0.15611988,0.413225987,-0.09214944,0.24066984,-0.015272409,0.249647054,-0.06998326,0.289428138
apostle,GPT2,-0.26529497,0.364283353,-0.018443538,0.357623058,-0.16633494,0.381513524,-0.0950028,0.225466325,-0.015613399,0.247371482,-0.071662,0.274416826
apothecary,GPT2,-0.27970043,0.326987077,-0.03385316,0.227684016,-0.16908517,0.372975487,-0.09170316,0.243047747,-0.006830578,0.305983081,-0.07689755,0.227600478
